rank,lemma,pos,freq
1,zijn,AUX,11738361
2,ik,PRON,10006772
3,je,PRON,9001167
4,het,PRON,7081845
5,de,DET,6812637
6,dat,SCONJ,6007618
7,een,DET,5039260
8,niet,ADV,4772886
9,en,CCONJ,3722568
10,hebben,AUX,3666010
11,van,ADP,2941504
12,wat,PRON,2769802
13,we,PRON,2691355
14,in,ADP,2588813
15,ze,PRON,2456905
16,hij,PRON,2388287
17,te,ADP,2381179
18,gaan,VERB,2144726
19,op,ADP,2144681
20,maar,CCONJ,2126469
21,kunnen,AUX,2051620
22,er,ADV,2044255
23,voor,ADP,1859971
24,met,ADP,1856605
25,die,PRON,1846895
26,me,PRON,1761825
27,doen,VERB,1735042
28,als,SCONJ,1684935
29,willen,VERB,1641826
30,weten,VERB,1592268
31,moeten,AUX,1578646
32,zullen,AUX,1567901
33,u,PRON,1434264
34,komen,VERB,1392020
35,goed,ADJ,1335090
36,om,ADP,1321308
37,dit,PRON,1258367
38,mijn,PRON,1243153
39,aan,ADP,1182865
40,dan,SCONJ,1134894
41,naar,ADP,1129663
42,zeggen,VERB,1115160
43,hier,ADV,1086524
44,zo,ADV,1052236
45,zien,VERB,1049502
46,jij,PRON,1044294
47,geen,DET,1020815
48,nog,ADV,994553
49,ja,INTJ,982006
50,hem,PRON,972927
51,wel,ADV,958539
52,ons,PRON,903484
53,laten,VERB,893791
54,denken,VERB,887437
55,haar,PRON,867675
56,nee,INTJ,856003
57,worden,AUX,806333
58,hoe,ADV,803291
59,nu,ADV,792974
60,waar,ADV,773738
61,over,ADP,746315
62,ook,ADV,734375
63,uit,ADP,700277
64,of,CCONJ,674193
65,maken,VERB,668538
66,mij,PRON,666821
67,jou,PRON,659006
68,bij,ADP,655438
69,al,ADV,632609
70,veel,ADV,619174
71,vinden,VERB,603376
72,iets,PRON,583350
73,daar,ADV,581597
74,jullie,PRON,580766
75,houden,VERB,569684
76,waarom,ADV,557548
77,zitten,VERB,532732
78,deze,DET,516044
79,geven,VERB,515063
80,echt,ADJ,483758
81,dus,ADV,461409
82,man,NOUN,453423
83,wie,PRON,435485
84,alles,PRON,426991
85,kijken,VERB,420130
86,door,ADP,417203
87,alleen,ADV,407083
88,heel,ADJ,393995
89,toch,ADV,392983
90,krijgen,VERB,389828
91,nemen,VERB,385099
92,weg,ADV,376436
93,eens,ADV,371727
94,misschien,ADV,359214
95,nooit,ADV,350946
96,blijven,VERB,348835
97,nou,ADV,347555
98,terug,ADV,342296
99,oké,PROPN,341155
100,mee,ADP,336637
101,staan,VERB,330572
102,niets,PRON,329731
103,iemand,PRON,328805
104,mens,NOUN,323001
105,toen,SCONJ,312964
106,mogen,AUX,310550
107,tijd,NOUN,308226
108,gewoon,ADJ,306683
109,dood,ADJ,305981
110,even,ADV,305017
111,wachten,VERB,297285
112,nodig,ADJ,291351
113,dag,NOUN,291183
114,tot,ADP,288727
115,leven,NOUN,286665
116,ander,ADJ,284254
117,gebeuren,VERB,282694
118,weer,ADV,276186
119,twee,NUM,275531
120,vertellen,VERB,270574
121,net,ADV,266915
122,tegen,ADP,265256
123,jaar,NOUN,264234
124,horen,VERB,259331
125,vrouw,NOUN,256562
126,praten,VERB,253289
127,omdat,SCONJ,252830
128,wij,PRON,242654
129,altijd,ADV,234911
130,vraag,NOUN,234403
131,zeker,ADJ,233261
132,groot,ADJ,230209
133,kennen,VERB,227372
134,vriend,NOUN,221891
135,huis,NOUN,221089
136,af,ADP,220034
137,erg,ADJ,219986
138,vader,NOUN,217105
139,hun,PRON,215211
140,ding,NOUN,212536
141,allemaal,ADV,210925
142,bellen,VERB,209978
143,één,NUM,209753
144,kind,NOUN,203970
145,helpen,VERB,202769
146,lang,ADJ,199937
147,jongen,NOUN,199643
148,bedanken,VERB,198790
149,brengen,VERB,197580
150,keer,NOUN,196456
151,zoals,SCONJ,195251
152,mooi,ADJ,194317
153,zij,PRON,193752
154,bedoelen,VERB,193283
155,laat,ADJ,192623
156,dank,NOUN,189986
157,anders,ADV,189426
158,zich,PRON,187074
159,begrijpen,VERB,186960
160,moeder,NOUN,184223
161,mr,SYM,183677
162,spijt,NOUN,179198
163,geld,NOUN,178884
164,werk,NOUN,178658
165,hand,NOUN,177051
166,iedereen,PRON,176789
167,niemand,PRON,174437
168,lijken,VERB,174020
169,leuk,ADJ,173261
170,niks,PRON,171080
171,binnen,ADP,167230
172,uur,NOUN,163568
173,na,ADP,162379
174,vermoorden,VERB,161438
175,vast,ADJ,157795
176,nieuw,ADJ,157304
177,genoeg,ADV,156685
178,proberen,VERB,155640
179,probleem,NOUN,153675
180,sorry,NOUN,153660
181,elkaar,PRON,152602
182,god,NOUN,152485
